StateWellNumber,WellDepth_x,LatitudeDD_x,LongitudeDD_x,TEMPERATURE_CELSIUS,SPECIFIC CONDUCTANCE,PH,ALKALINITY,PHOSPHORUS_DIS,HARDNESS_total,CALCIUM_DIS,MAGNESIUM_DIS,SODIUM_DIS,SODIUM_AD_RAT_SAR,SODIUM_%,POTASSIUM_DIS,CHLORIDE_DIS,SULFATE_DIS,SILICA_DIS,ARSENIC_DIS,Mn_DIS,STRONTIUM_DIS,TOTAL DISSOLVED SOLIDS,WellDepth_y,LatitudeDD_y,LongitudeDD_y,WaterLevel,LatitudeDD,LongitudeDD,claytotal_l,claytotal_r,claytotal_h,chtexture_OBJECTID,chtexture_texcl,FLUORIDE_DIS,Y_value,tex_index
7007902,380,29.8926944,-100.1346944,22.775,369.25,7.4875,171.25,0.02,194.01325,57.4,12.25,5.6975,0.175,6.111,0.4675,9.955,6.3,10.605,1.5,1,72.4,214.83725,380,29.8926944,-100.1346944,326.0809091,29.89,-100.13,27,30,40,115562,Silty clay loam,0.143,0,10
7033604,554,29.4476111,-100.9169444,25,857,7.47,170,,269,88.5,11.5,79.9,2.12,39,2.08,90.3,129,13.3,2.04,10.8,818,519,554,29.4476111,-100.9169444,147.2920833,29.45,-100.92,20,26,35,115435,Loam,0.31,0,4
7045505,950,29.3104806,-100.4219722,24.58333333,470,7.048333333,200.8333333,0.02,238.3091667,84.28333333,6.36,5.551666667,0.1535,4.974333333,0.723666667,8.665,24.88333333,12.35,1.846666667,1.006666667,1636.666667,269.538,950,29.3104806,-100.4219722,1.435,29.31,-100.42,35,39,55,126244,Silty clay loam,0.489166667,0,10
7107702,507,29.913612,-101.215834,23.9,492,7.08,234,,256,68.3,19.3,9.3,0.25,7,1.4,13,18,16.8,1,1,5480,303,507,29.913612,-101.215834,271.8,29.91,-101.22,18,26,35,115484,Clay loam,0.6,0,2
7112502,393,29.8143889,-101.5711389,25.5,1291.5,7.185,182,0.02,377,101.8,29.65,120,2.69,40.5,2.51,197.5,156.5,17.25,2.355,1,1085,743.5,393,29.8143889,-101.5711389,267.8109524,29.81,-101.57,10,18.5,27,115390,Silt loam,0.8,1,8
7113901,850,29.782778,-101.388056,26.6,929,7.2,200,,359,84.4,35.9,49.9,1.15,23,0.96,76.9,145,18.1,2,1.36,998,540,850,29.782778,-101.388056,500,29.78,-101.39,22,28.5,35,115395,Clay loam,2.64,1,2
7115202,795,29.8563889,-101.1872222,24.7,414,7.31,177,,199,62.6,10.3,10,0.3,10,0.9,15,9,15.6,1,1,206,243,795,29.8563889,-101.1872222,304.9,29.86,-101.19,22,28.5,35,115413,Clay loam,0.5,0,2
7122501,769,29.7045278,-101.3235278,26.25,619.5,7.17,220.5,0.02,296,75.1,26.285,17.57,0.425,10.5,1.22,27.5,59.75,17.5,2,5.05,445.5,364,769,29.7045278,-101.3235278,216.0966667,29.7,-101.32,18,26.5,35,115356,Clay loam,1.835,1,2
7122502,325,29.7045472,-101.3234111,26.5,445,7.12,212,0.02,252.92,84.5,10.1,8.64,0.237,6.93,1.47,12,17,13.3,1,1,249,283.461,325,29.7045472,-101.3234111,197.5,29.7,-101.32,18,26.5,35,115356,Clay loam,0.758,1,2
7123901,690,29.6547222,-101.145,23,454,7.21,203,,223,70.3,11.4,8.49,0.24,8,1.3,12.6,12.7,17.2,2.04,3.74,512,264,690,29.6547222,-101.145,337.1291304,29.65,-101.15,22,31,40,115325,Silty clay loam,0.36,0,10
7131904,433,29.517778,-101.165556,24.4,484,7.14,192,,225,70.8,11.5,12.5,0.36,11,1.08,16.3,27.2,18.2,2.04,1.02,719,284,433,29.517778,-101.165556,67.8,29.52,-101.17,5,15.5,26,115396,Loam,0.46,0,4
